Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_ctrl Max,eval/env_infos/final/reward_ctrl Mean,eval/env_infos/final/reward_ctrl Min,eval/env_infos/final/reward_ctrl Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_ctrl Max,eval/env_infos/initial/reward_ctrl Mean,eval/env_infos/initial/reward_ctrl Min,eval/env_infos/initial/reward_ctrl Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_ctrl Max,eval/env_infos/reward_ctrl Mean,eval/env_infos/reward_ctrl Min,eval/env_infos/reward_ctrl Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_ctrl Max,expl/env_infos/final/reward_ctrl Mean,expl/env_infos/final/reward_ctrl Min,expl/env_infos/final/reward_ctrl Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_ctrl Max,expl/env_infos/initial/reward_ctrl Mean,expl/env_infos/initial/reward_ctrl Min,expl/env_infos/initial/reward_ctrl Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_ctrl Max,expl/env_infos/reward_ctrl Mean,expl/env_infos/reward_ctrl Min,expl/env_infos/reward_ctrl Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00016169189,9.4323266e-05,1.9811949e-05,5.8217476e-05,-217.2959775768028,5,-95.72056987838066,-217.2959775768028,-382.5274494687391,106.20267462589513,-0.09572056987837922,-0.2172959775768015,-0.38252744946873835,0.1062026746258951,-2.19962e-08,-2.456053e-08,-2.8994933e-08,2.5485634e-09,-0.09572054777683374,-0.21729595301627228,-0.38252742047380567,0.10620267213485769,-2.19962e-08,-2.456053e-08,-2.8994933e-08,2.5485634e-09,-0.09572054777683374,-0.21729595301627228,-0.38252742047380567,0.10620267213485769,-2.19962e-08,-2.456053e-08,-2.8994933e-08,2.5485636e-09,-0.09572054777683374,-0.21729595301627222,-0.38252742047380567,0.10620267213485769,5,5000,1000,1000.0,1000,0.0,0.9975777,-0.015077973,-0.9984634,0.63837206,-1152.7366729175706,1,-1152.7366729175706,-1152.7366729175706,-1152.7366729175706,0.0,-0.3412980271458575,-1.1527366729175619,-2.306563715632255,0.453868132562636,-0.38888082,-0.38888082,-0.38888082,0.0,-0.33724413364678113,-0.33724413364678113,-0.33724413364678113,0.0,-1.0969348,-1.0969348,-1.0969348,0.0,-0.33724413364678113,-0.33724413364678113,-0.33724413364678113,0.0,-0.0040538935,-0.8154926,-1.9693196,0.45386812,-0.33724413364678113,-0.3372441336467812,-0.33724413364678113,5.551115123125783e-17,2,2000,1000,1000.0,1000,0.0,2000,0.004171987995505333,11.719790532020852,2.733766372781247,0.5769507400691509,0.014668934978544712,8.385933141224086,0.004262004047632217,12.100917742121965,3.735092468559742e-05,1.0,-0.0,-0.5895195,-1.3634633,-1.8789439,0.2833083,-1.363506,1.335296,0.20698525,-1.3244042,0.5494978,0.0004735096,6.508098e-05,-0.0005216529,0.0002844512,0.0004274812,0.00016415575,-6.0883176e-06,8.971078e-05,0.3447505,0.34472817,1000,0.00015470176,9.5560084e-05,3.7581485e-05,5.691229e-05,-8.869565e-05,-0.00022818643,-0.00036764942,0.00013623976,0.9999113,0.99977195,0.9996324,0.00013620872
1,1,0.01244939,-0.003149669,-0.01894936,0.01515056,-178.53419647978342,5,-100.6500784038309,-178.53419647978342,-357.0358529079233,90.89431555945717,-0.10065007840383117,-0.1785341964797823,-0.3570358529079193,0.09089431555945568,-0.0004239776,-0.0004789195,-0.00051406655,3.121277e-05,-0.10018247702608135,-0.1780552770123592,-0.35652178636262655,0.09087652090244969,-0.0004239776,-0.0004789195,-0.00051406655,3.121277e-05,-0.10018247702608135,-0.1780552770123592,-0.35652178636262655,0.09087652090244969,-0.0004239776,-0.0004789195,-0.00051406655,3.121277e-05,-0.10018247702608135,-0.17805527701235918,-0.35652178636262655,0.09087652090244969,10,10000,1000,1000.0,1000,0.0,0.9702535,-0.008460332,-0.97432107,0.4846697,-744.0670158638802,1,-744.0670158638802,-744.0670158638802,-744.0670158638802,0.0,-0.2751056791811989,-0.7440670158638659,-2.0716657701477215,0.33064546541939754,-1.1149609,-1.1149609,-1.1149609,0.0,-0.2741144958481,-0.2741144958481,-0.2741144958481,0.0,-0.32061332,-0.32061332,-0.32061332,0.0,-0.2741144958481,-0.2741144958481,-0.2741144958481,0.0,-0.0009911833,-0.46995252,-1.7975513,0.33064547,-0.2741144958481,-0.27411449584809994,-0.2741144958481,5.551115123125783e-17,3,3000,1000,1000.0,1000,0.0,3000,0.0054178370628505945,11.749026651261374,2.2358691301196814,0.5723636609036475,0.015304944943636656,8.916069268248975,0.003965338924899697,24.125619678292423,3.6471057683229446e-05,0.7429875731468201,-0.9517818689346313,-0.8531289,-1.2038338,-3.2204814,0.38680413,-2.021123,2.983099,0.90058494,-0.60784614,0.57713896,1.7684809,0.9152988,-0.4077871,0.544317,1.7604724,0.9092994,-0.42696828,0.5404468,0.04895699,0.048264164,2000,0.01300738,-0.0033133496,-0.019806884,0.015983306,-0.4576736,-0.47870597,-0.49681115,0.012985067,0.63275397,0.61963695,0.6084679,0.008057474
2,2,0.0021415656,-0.004670735,-0.011838646,0.0067200223,-200.29490420260348,5,-146.35252325249874,-200.29490420260348,-366.9114825710848,83.9410342872652,-0.14635252325249853,-0.20029490420260446,-0.36691148257109,0.08394103428726735,-0.00012734508,-0.00013394911,-0.00014474064,5.8004102e-06,-0.14622003398697375,-0.2001609550918543,-0.36676674193171915,0.08393584657867709,-0.00012734508,-0.00013394911,-0.00014474064,5.8004102e-06,-0.14622003398697375,-0.2001609550918543,-0.36676674193171915,0.08393584657867709,-0.00012734508,-0.00013394911,-0.00014474064,5.8004102e-06,-0.14622003398697375,-0.20016095509185433,-0.36676674193171915,0.08393584657867709,15,15000,1000,1000.0,1000,0.0,0.9506148,-0.009036838,-0.9715334,0.45981097,-711.3166766817594,1,-711.3166766817594,-711.3166766817594,-711.3166766817594,0.0,-0.2890732756309634,-0.711316676681764,-1.9690948990133084,0.3031018568457792,-0.94486314,-0.94486314,-0.94486314,0.0,-0.288301136806277,-0.288301136806277,-0.288301136806277,0.0,-0.77105385,-0.77105385,-0.77105385,0.0,-0.288301136806277,-0.288301136806277,-0.288301136806277,0.0,-0.0007721388,-0.42301556,-1.6807938,0.30310184,-0.288301136806277,-0.28830113680627706,-0.288301136806277,5.551115123125783e-17,4,4000,1000,1000.0,1000,0.0,4000,0.004274444188922644,11.377755320165306,2.2001263480633497,0.5634065389167517,0.014029418118298054,8.591969399014488,0.003910349914804101,35.75460166065022,3.882194869220257e-05,0.5529195666313171,-1.8977102041244507,-0.69819915,-1.2026557,-4.350068,0.58754,-1.6924809,2.0619776,0.83766097,-0.72004783,0.5980815,1.6942064,0.85351455,-0.61362195,0.5775734,1.6922851,0.852547,-0.6003262,0.576168,0.014344921,0.014279769,3000,0.0021585235,-0.0048559913,-0.011984263,0.0069936584,-0.549095,-0.5632638,-0.57900774,0.009073646,0.5774722,0.5693713,0.5604542,0.00516511
3,3,-0.00030669663,-0.0011444427,-0.002004063,0.0007840588,-224.66250525580034,5,-94.19326256554447,-224.66250525580034,-402.0374290483778,117.28236775555332,-0.09419326256554605,-0.22466250525580225,-0.40203742904837625,0.11728236775555298,-3.6053686e-06,-3.8489934e-06,-4.110445e-06,1.8443264e-07,-0.09418965719689887,-0.22465865626235546,-0.4020333186034425,0.11728218792844895,-3.6053686e-06,-3.8489934e-06,-4.110445e-06,1.8443264e-07,-0.09418965719689887,-0.22465865626235546,-0.4020333186034425,0.11728218792844895,-3.6053686e-06,-3.848993e-06,-4.110445e-06,1.8443265e-07,-0.09418965719689887,-0.22465865626235546,-0.4020333186034425,0.11728218792844894,20,20000,1000,1000.0,1000,0.0,0.9294451,-0.0061355075,-0.95615214,0.443206,-547.4474691548747,1,-547.4474691548747,-547.4474691548747,-547.4474691548747,0.0,-0.1547046014943798,-0.5474474691548851,-1.7491406774402303,0.2828377258233101,-0.08576495,-0.08576495,-0.08576495,0.0,-0.1545090055347127,-0.1545090055347127,-0.1545090055347127,0.0,-0.5318539,-0.5318539,-0.5318539,0.0,-0.1545090055347127,-0.1545090055347127,-0.1545090055347127,0.0,-0.00019559596,-0.39293846,-1.5946317,0.28283772,-0.1545090055347127,-0.1545090055347127,-0.1545090055347127,0.0,5,5000,1000,1000.0,1000,0.0,5000,0.004278530832380056,11.399775269208476,2.1832194367889315,0.5639021771494299,0.0140022081322968,8.630426892545074,0.003904067911207676,47.413207720033824,4.195584915578365e-05,0.41306033730506897,-2.708726406097412,-0.47801536,-1.0636102,-3.9049325,0.5862263,-0.59946024,0.87914574,-0.022999343,-1.764878,0.6119529,0.82759976,-0.024792284,-1.6812813,0.59364134,0.82158065,-0.017191019,-1.7005107,0.6003938,0.010468361,0.009478415,4000,-0.00031103563,-0.0011459995,-0.0019941963,0.00080299954,-0.63776803,-0.66593146,-0.68279374,0.01535112,0.52847064,0.5138556,0.5052036,0.007949425
4,4,0.014940545,0.0038218563,-0.007129415,0.010898658,-210.3173476829223,5,-19.090734945972795,-210.3173476829223,-400.5624194755513,154.22394137252832,-0.01909073494597276,-0.2103173476829229,-0.40056241947555676,0.15422394137252787,-0.00026057806,-0.00026677403,-0.00027404734,4.2864754e-06,-0.018830156884984423,-0.2100505736609025,-0.4002883721327292,0.15422071810524576,-0.00026057806,-0.00026677403,-0.00027404734,4.2864754e-06,-0.018830156884984423,-0.2100505736609025,-0.4002883721327292,0.15422071810524576,-0.00026057806,-0.00026677403,-0.00027404734,4.2864754e-06,-0.018830156884984423,-0.2100505736609025,-0.4002883721327292,0.15422071810524576,25,25000,1000,1000.0,1000,0.0,0.88285756,0.013897282,-0.8961792,0.37127692,-561.6689194522099,1,-561.6689194522099,-561.6689194522099,-561.6689194522099,0.0,-0.28577165620139133,-0.5616689194521997,-1.6723018864306463,0.22148451485902362,-0.035980124,-0.035980124,-0.035980124,0.0,-0.2855895737322819,-0.2855895737322819,-0.2855895737322819,0.0,-0.3850383,-0.3850383,-0.3850383,0.0,-0.2855895737322819,-0.2855895737322819,-0.2855895737322819,0.0,-0.00018208247,-0.27607936,-1.3867123,0.22148451,-0.2855895737322819,-0.2855895737322819,-0.2855895737322819,0.0,6,6000,1000,1000.0,1000,0.0,6000,0.00450969603843987,11.349686513654888,2.1731075139250606,0.5741532840766013,0.013977430062368512,8.58000722550787,0.003894221968948841,59.011464394629,3.71420755982399e-05,0.3100554347038269,-3.282773017883301,-0.13970459,-0.80338275,-4.4882793,0.70584637,0.8524587,0.006788358,-1.3363769,-3.381634,0.7693493,-0.008335215,-1.3430958,-3.3830278,0.76912874,-0.01171699,-1.3388407,-3.3824105,0.7696997,0.0047150366,0.004493828,5000,0.014807096,0.0038441375,-0.0071179704,0.010923048,-0.8459992,-0.84946436,-0.85299164,0.002236966,0.42912838,0.42764497,0.42613816,0.0009566269
5,5,0.0077028912,0.0006544046,-0.0063652536,0.006963685,-190.69026182230897,5,-67.67645896211317,-190.69026182230897,-323.4617420750576,99.85089524263904,-0.06767645896211484,-0.19069026182231047,-0.323461742075058,0.09985089524263972,-9.576134e-05,-9.784238e-05,-9.985166e-05,1.3558426e-06,-0.06757864496789857,-0.19059241945331473,-0.3233632102057597,0.09985006460038541,-9.576134e-05,-9.784238e-05,-9.985166e-05,1.3558426e-06,-0.06757864496789857,-0.19059241945331473,-0.3233632102057597,0.09985006460038541,-9.576134e-05,-9.784237e-05,-9.985166e-05,1.3558426e-06,-0.06757864496789857,-0.1905924194533147,-0.3233632102057597,0.09985006460038541,30,30000,1000,1000.0,1000,0.0,0.9313911,-0.0039183497,-0.8707905,0.33977696,-510.94754392990853,1,-510.94754392990853,-510.94754392990853,-510.94754392990853,0.0,-0.2800622481802054,-0.5109475439298984,-1.63270086179475,0.19525171807003253,-0.03364514,-0.03364514,-0.03364514,0.0,-0.2800200594494743,-0.2800200594494743,-0.2800200594494743,0.0,-0.2939583,-0.2939583,-0.2939583,0.0,-0.2800200594494743,-0.2800200594494743,-0.2800200594494743,0.0,-4.218873e-05,-0.2309275,-1.3526808,0.19525172,-0.2800200594494743,-0.2800200594494742,-0.2800200594494743,5.551115123125783e-17,7,7000,1000,1000.0,1000,0.0,7000,0.004574245074763894,11.6597816941794,2.317124282941222,0.5768786210101098,0.013969989027827978,8.743296520086005,0.0039004290010780096,70.94115657615475,3.7607038393616676e-05,0.23396365344524384,-3.9268946647644043,0.07126367,-0.70337534,-3.6524408,0.76892966,2.4983215,-1.0382514,-2.9469595,-5.1698294,0.9297891,-1.0525888,-2.9398665,-5.182633,0.9306621,-1.0494514,-2.9400494,-5.182987,0.9304928,0.002195474,0.002234022,6000,0.007757523,0.0006677876,-0.006411125,0.007041066,-0.9509211,-0.95705324,-0.9615075,0.0029248872,0.38638496,0.38402447,0.3823161,0.0011235656
6,6,0.02159886,0.0072659133,-0.0068741813,0.014096416,-255.45149369658247,5,-112.26048792340843,-255.45149369658247,-350.10535774917315,90.04332169456865,-0.11226048792341037,-0.2554514936965812,-0.3501053577491719,0.09004332169456658,-0.0004967038,-0.00050300435,-0.0005137635,6.799658e-06,-0.11176282022242678,-0.25494848931933906,-0.3495915942329619,0.09003762614046092,-0.0004967038,-0.00050300435,-0.0005137635,6.799658e-06,-0.11176282022242678,-0.25494848931933906,-0.3495915942329619,0.09003762614046092,-0.0004967038,-0.00050300435,-0.0005137635,6.799658e-06,-0.11176282022242678,-0.254948489319339,-0.3495915942329619,0.09003762614046092,35,35000,1000,1000.0,1000,0.0,0.80424404,0.014089584,-0.80742335,0.29025838,-505.24512241746703,1,-505.24512241746703,-505.24512241746703,-505.24512241746703,0.0,-0.3364107405222412,-0.5052451224174686,-1.1236776670420467,0.13942201924364378,-0.1892074,-0.1892074,-0.1892074,0.0,-0.336348231693536,-0.336348231693536,-0.336348231693536,0.0,-0.04347621,-0.04347621,-0.04347621,0.0,-0.336348231693536,-0.336348231693536,-0.336348231693536,0.0,-6.250883e-05,-0.16889688,-0.78732944,0.13942201,-0.336348231693536,-0.33634823169353617,-0.336348231693536,1.6653345369377348e-16,8,8000,1000,1000.0,1000,0.0,8000,0.004321051994338632,11.513725289609283,2.205118373967707,0.5653501239139587,0.014090682845562696,8.719423226779327,0.005367012927308679,82.71930186916143,5.481718108057976e-05,0.17748138308525085,-4.073548316955566,0.4683584,-0.35616463,-3.846043,0.7928258,4.2450604,-2.2701871,-4.6048155,-6.9089975,0.9235401,-2.2203493,-4.5831175,-6.8975616,0.91969657,-2.2329125,-4.5828977,-6.9045873,0.92041105,0.0018269864,0.00187797,7000,0.021634815,0.0073252125,-0.006904774,0.014183641,-1.1480461,-1.154731,-1.162696,0.00362809,0.31725603,0.31514436,0.31264216,0.0011427562
7,7,-0.007364755,-0.00958188,-0.011859853,0.002151562,-291.1492636296906,5,-171.17084641059392,-291.1492636296906,-359.5698886079668,68.40043922315682,-0.1711708464105932,-0.291149263629692,-0.35956988860797146,0.06840043922315825,-0.00018580773,-0.0001928831,-0.00019643715,3.8270678e-06,-0.17098503868028914,-0.2909563805341044,-0.35937345146029265,0.06839677759640354,-0.00018580773,-0.0001928831,-0.00019643715,3.8270678e-06,-0.17098503868028914,-0.2909563805341044,-0.35937345146029265,0.06839677759640354,-0.00018580773,-0.00019288309,-0.00019643715,3.8270673e-06,-0.17098503868028914,-0.2909563805341044,-0.35937345146029265,0.06839677759640354,40,40000,1000,1000.0,1000,0.0,0.73850584,-0.0084187435,-0.7018744,0.26345277,-389.13505557445154,1,-389.13505557445154,-389.13505557445154,-389.13505557445154,0.0,-0.25028080155466054,-0.3891350555744565,-1.1145506565794192,0.12662647821064155,-0.038365386,-0.038365386,-0.038365386,0.0,-0.25017858197538484,-0.25017858197538484,-0.25017858197538484,0.0,-0.020801079,-0.020801079,-0.020801079,0.0,-0.25017858197538484,-0.25017858197538484,-0.25017858197538484,0.0,-0.00010221958,-0.13895647,-0.8643721,0.12662648,-0.25017858197538484,-0.25017858197538484,-0.25017858197538484,0.0,9,9000,1000,1000.0,1000,0.0,9000,0.004265750991180539,11.550455196294934,2.1806571350898594,0.563809801125899,0.013941597891971469,8.783884925069287,0.0038603090215474367,94.53379556071013,3.567710518836975e-05,0.135245680809021,-4.171323776245117,0.74104047,-0.08497153,-4.873147,0.77191323,5.967899,-3.5017567,-6.25184,-9.317743,1.1424242,-3.469381,-6.2466927,-9.253658,1.142734,-3.484036,-6.2453337,-9.248595,1.1410838,0.00036930514,0.00035387435,8000,-0.0073692156,-0.009582987,-0.011852461,0.0021483002,-1.2634673,-1.2831252,-1.2988012,0.009566044,0.28267223,0.27718243,0.2728587,0.0026529885
8,8,0.01333969,0.0042075077,-0.0048899637,0.0090516405,-241.6073966906675,5,-126.10577504115028,-241.6073966906675,-375.7864742416916,94.35646650242776,-0.12610577504114753,-0.24160739669066716,-0.375786474241687,0.09435646650242795,-0.00019574292,-0.00019927032,-0.0002018047,2.3637133e-06,-0.12590427015988662,-0.2414081263665841,-0.37558653895910643,0.09435684226091107,-0.00019574292,-0.00019927032,-0.0002018047,2.3637133e-06,-0.12590427015988662,-0.2414081263665841,-0.37558653895910643,0.09435684226091107,-0.00019574292,-0.00019927033,-0.0002018047,2.3637133e-06,-0.12590427015988662,-0.2414081263665841,-0.37558653895910643,0.09435684226091107,45,45000,1000,1000.0,1000,0.0,0.708085,0.0052994746,-0.76383966,0.2369225,-246.98614417617483,1,-246.98614417617483,-246.98614417617483,-246.98614417617483,0.0,-0.13477461196793394,-0.24698614417617296,-0.8088353882301288,0.10021470044432995,-0.08198469,-0.08198469,-0.08198469,0.0,-0.13466543059234193,-0.13466543059234193,-0.13466543059234193,0.0,-0.08866375,-0.08866375,-0.08866375,0.0,-0.13466543059234193,-0.13466543059234193,-0.13466543059234193,0.0,-0.000109181376,-0.112320706,-0.67416996,0.1002147,-0.13466543059234193,-0.13466543059234187,-0.13466543059234193,5.551115123125783e-17,10,10000,1000,1000.0,1000,0.0,10000,0.004214100074023008,11.39816185622476,2.1628310810774565,0.5650691860355437,0.014091237913817167,8.648019212298095,0.0039006758015602827,106.18824859242886,3.636302426457405e-05,0.1036214530467987,-4.400842189788818,0.98256886,0.05874671,-3.22723,0.8764023,7.062155,-3.6053343,-7.256925,-11.003352,1.7704254,-3.6325188,-7.26661,-11.01185,1.7731354,-3.6083534,-7.2647505,-11.01349,1.7755567,0.0005377171,0.00042033644,9000,0.013245767,0.00418932,-0.0048340927,0.008998812,-1.3763623,-1.4028888,-1.4245685,0.012271422,0.25249538,0.24590416,0.24061225,0.0030206642
9,9,0.0026315083,6.2164054e-06,-0.0025889291,0.0025768604,-225.5528129669571,5,-127.6018738651772,-225.5528129669571,-286.38648256264156,54.8226839726785,-0.12760187386517946,-0.22555281296695776,-0.2863864825626345,0.054822683972676305,-1.3112414e-05,-1.3280534e-05,-1.3475983e-05,1.233209e-07,-0.1275883978821833,-0.2255395324321902,-0.2863732415657844,0.05482275103055553,-1.3112414e-05,-1.3280534e-05,-1.3475983e-05,1.233209e-07,-0.1275883978821833,-0.2255395324321902,-0.2863732415657844,0.05482275103055553,-1.3112414e-05,-1.3280534e-05,-1.3475983e-05,1.2332092e-07,-0.1275883978821833,-0.22553953243219022,-0.2863732415657844,0.05482275103055553,50,50000,1000,1000.0,1000,0.0,0.7058977,0.0078116567,-0.62390983,0.21693389,-315.7661274050188,1,-315.7661274050188,-315.7661274050188,-315.7661274050188,0.0,-0.22155171621922146,-0.3157661274050248,-0.7662401747045465,0.08528314190958373,-0.09739574,-0.09739574,-0.09739574,0.0,-0.22152345889186345,-0.22152345889186345,-0.22152345889186345,0.0,-0.3016784,-0.3016784,-0.3016784,0.0,-0.22152345889186345,-0.22152345889186345,-0.22152345889186345,0.0,-2.8257327e-05,-0.09424267,-0.5447167,0.085283145,-0.22152345889186345,-0.2215234588918635,-0.22152345889186345,5.551115123125783e-17,11,11000,1000,1000.0,1000,0.0,11000,0.004222466144710779,11.724780661519617,2.2382357930764556,0.5645966550800949,0.014015437103807926,8.899755022022873,0.003917166963219643,118.18664483120665,3.812112845480442e-05,0.07988449186086655,-4.21279239654541,1.2160429,0.33300227,-3.5055277,0.89843,8.661279,-4.667876,-8.951559,-12.716719,1.9150254,-4.664877,-8.946037,-12.681653,1.9214433,-4.666926,-8.942104,-12.68053,1.9193857,0.0004449056,0.00049256504,10000,0.0027352066,-1.805745e-05,-0.0025940551,0.0025608062,-1.5051352,-1.5266856,-1.5394701,0.0073337057,0.22198728,0.21726039,0.21449474,0.0015980935
