Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/is_success Max,eval/env_infos/final/is_success Mean,eval/env_infos/final/is_success Min,eval/env_infos/final/is_success Std,eval/env_infos/initial/is_success Max,eval/env_infos/initial/is_success Mean,eval/env_infos/initial/is_success Min,eval/env_infos/initial/is_success Std,eval/env_infos/is_success Max,eval/env_infos/is_success Mean,eval/env_infos/is_success Min,eval/env_infos/is_success Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/is_success Max,expl/env_infos/final/is_success Mean,expl/env_infos/final/is_success Min,expl/env_infos/final/is_success Std,expl/env_infos/initial/is_success Max,expl/env_infos/initial/is_success Mean,expl/env_infos/initial/is_success Min,expl/env_infos/initial/is_success Std,expl/env_infos/is_success Max,expl/env_infos/is_success Mean,expl/env_infos/is_success Min,expl/env_infos/is_success Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00047681772,4.4003576e-05,-0.00049390126,0.0001609175,-997.4,5,-987.0,-997.4,-1000.0,5.2,-0.0,-0.9974,-1.0,0.050923864739432334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0026,0.0,0.050923865,5,5000,1000,1000.0,1000,0.0,0.99913853,0.013086325,-0.9988179,0.6288059,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2000,1000,1000.0,1000,0.0,2000,0.00398679100908339,21.376510028378107,5.142273923032917,0.9697442220058292,0.01560767600312829,15.229102825338487,0.015714169945567846,23.76621902413899,8.042104309424758e-05,1.0,-0.0,-3.0607815,-4.654297,-5.9867697,0.5529432,-4.6541066,5.4743195,3.640327,2.2225683,0.592285,0.0017092914,0.00018916788,-0.00148033,0.0005603187,0.00079163763,-5.662212e-05,-0.00079738966,0.00026879716,13.601367,13.603202,1000,0.0005190981,3.1342202e-05,-0.00050230697,0.0001813132,0.00088628585,-0.0003753339,-0.0015858463,0.00073953596,1.0008867,0.9996251,0.9984154,0.0007392738
1,1,0.019500982,-0.0012314004,-0.020040799,0.00905696,-1000.0,5,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10000,1000,1000.0,1000,0.0,0.9978233,-0.005203266,-0.9981813,0.5887694,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3000,1000,1000.0,1000,0.0,3000,0.004051942960359156,20.334860194532666,4.344702556962147,0.967887643026188,0.017141600023023784,14.984308008570224,0.016673495003487915,44.84049156727269,9.494798723608255e-05,0.7407411336898804,-3.5435032844543457,-4.0595345,-4.807582,-7.56431,0.4113353,-15.40843,12.934189,11.948994,11.206712,0.34028402,12.460609,11.863621,11.371329,0.35214838,12.443315,11.881552,11.436061,0.32706973,0.059432924,0.053008445,2000,0.019022403,-0.001290662,-0.02047726,0.009276593,-0.10620921,-0.1272621,-0.16212755,0.0094788615,0.8992365,0.88054234,0.85033274,0.0083271
2,2,0.019324701,0.0031096616,-0.007824031,0.0070602037,-1000.0,5,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15000,1000,1000.0,1000,0.0,0.997039,0.011936279,-0.99631906,0.58419096,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4000,1000,1000.0,1000,0.0,4000,0.004023099027108401,19.975854898395482,4.262952426041011,0.94270202802727,0.015619207988493145,14.737306782335509,0.013179956004023552,65.5292519829818,7.139897206798196e-05,0.5487335920333862,-7.074721336364746,-4.182309,-4.788409,-5.625909,0.26079684,-22.387684,21.373812,19.817844,19.250134,0.4479935,20.539492,19.778198,19.352404,0.4389523,20.509527,19.766096,19.305006,0.44624278,0.027643569,0.029166533,3000,0.019325992,0.00317823,-0.0073054526,0.00715798,-0.12215471,-0.13712287,-0.15666787,0.0059416327,0.88501143,0.8718785,0.854988,0.0051768087
3,3,0.010027059,0.0005849019,-0.011415939,0.0052621104,-1000.0,5,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20000,1000,1000.0,1000,0.0,0.9975432,0.006264487,-0.99696785,0.58352846,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5000,1000,1000.0,1000,0.0,5000,0.00399753003148362,20.40203415544238,4.339604402019177,0.9607002530246973,0.015598569007124752,15.069093399331905,0.012965044006705284,86.6792171325651,7.495802128687501e-05,0.40650537610054016,-10.642007827758789,-4.135293,-4.822376,-7.640956,0.38045442,-26.10337,25.080347,24.099848,23.553656,0.411868,24.990707,24.145681,23.775448,0.40936133,25.018814,24.147018,23.774624,0.41065004,0.021442357,0.02124492,4000,0.01037357,0.0006297197,-0.011546238,0.005449785,-0.12014428,-0.13112599,-0.14526227,0.004726813,0.8867925,0.87711704,0.86479545,0.0041447855
4,4,0.007445488,-0.0032153053,-0.010797026,0.0041339383,-999.4,5,-999.0,-999.4,-1000.0,0.48989794855663565,-0.0,-0.9994,-1.0,0.024487547856002243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0006,0.0,0.024487548,25,25000,1000,1000.0,1000,0.0,0.9982809,-0.011339475,-0.99527127,0.58928657,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6000,1000,1000.0,1000,0.0,6000,0.004015150014311075,19.87058482359862,4.357796066964511,0.9528975810389966,0.0157321710139513,14.527576728607528,0.012495653005316854,107.25804785016226,7.147295400500298e-05,0.3011494576931,-14.136619567871094,-4.125982,-4.7790575,-5.8651104,0.30524567,-27.151865,26.517557,25.689516,25.158455,0.40171212,26.51725,25.713884,25.315884,0.39213166,26.541677,25.714975,25.31667,0.39244914,0.01108102,0.0110285655,5000,0.0072772284,-0.003257287,-0.010594978,0.004178607,-0.11789609,-0.13287267,-0.14833187,0.0055728354,0.8887884,0.8755902,0.86214495,0.004884287
5,5,0.009745852,0.0003385872,-0.0113247065,0.0052431393,-1000.0,5,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30000,1000,1000.0,1000,0.0,0.9971763,0.0060250997,-0.99517167,0.5896557,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7000,1000,1000.0,1000,0.0,7000,0.003954791987780482,20.36756427225191,4.263777146989014,0.9415978559991345,0.026737567968666553,15.11723360128235,0.014181284001097083,128.3827761639841,8.202402386814356e-05,0.22309820353984833,-17.671405792236328,-4.117428,-4.779812,-5.7049828,0.29257956,-26.255077,26.030285,25.210049,24.734402,0.36440563,25.93201,25.192665,24.79743,0.36069882,25.94646,25.191658,24.799995,0.36139387,0.0060589947,0.0061581274,6000,0.009728944,0.0003574176,-0.011152744,0.0053283423,-0.11271992,-0.124634214,-0.13790804,0.0041182465,0.89340085,0.8828272,0.8711788,0.0036345064
6,6,0.012212992,-0.0013207706,-0.014835598,0.0071374704,-1000.0,5,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35000,1000,1000.0,1000,0.0,0.9970787,-0.017659193,-0.99505466,0.5856596,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8000,1000,1000.0,1000,0.0,8000,0.004112419963348657,20.003420123422984,4.214116393995937,0.946369640994817,0.01578504004282877,14.810074522392824,0.012900591013021767,149.1248098576907,6.151502020657063e-05,0.16527333855628967,-21.204055786132812,-4.0924063,-4.7790194,-6.2499456,0.3028233,-24.15554,24.19003,23.354477,22.818228,0.42765358,24.158686,23.368542,22.907398,0.42268926,24.15091,23.368942,22.894657,0.4242957,0.002606564,0.0026125826,7000,0.012038498,-0.0013358651,-0.014976467,0.0073216786,-0.11453873,-0.13215737,-0.15564394,0.00712427,0.8917774,0.87622535,0.85586387,0.006230295
7,7,0.013299476,-0.0025865186,-0.014350521,0.008119382,-998.4,5,-995.0,-998.4,-1000.0,1.8547236990991407,-0.0,-0.9984,-1.0,0.03996798718974975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0016,0.0,0.039967988,40,40000,1000,1000.0,1000,0.0,0.9996736,0.0068728486,-0.99772763,0.5890108,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9000,1000,1000.0,1000,0.0,9000,0.004065213957801461,19.90535599994473,4.321720339998137,0.9613292359863408,0.016616086999420077,14.586801879981067,0.014737661986146122,169.76442942779977,8.558103581890464e-05,0.1224377229809761,-24.760814666748047,-4.042386,-4.7900057,-6.3822913,0.28989634,-20.914116,21.353153,20.336819,19.917198,0.37914044,21.071686,20.334278,19.967167,0.36643958,21.068886,20.32755,19.95683,0.3667471,0.0017801975,0.0018558973,8000,0.012859157,-0.0026211154,-0.01460834,0.008173252,-0.111527406,-0.13169762,-0.14840502,0.006166975,0.8944669,0.8766227,0.8620819,0.005402439
8,8,0.003800537,-0.0009787303,-0.009497802,0.0030310343,-999.8,5,-999.0,-999.8,-1000.0,0.4,-0.0,-0.9998,-1.0,0.014140721339450825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,0.0,0.014140722,45,45000,1000,1000.0,1000,0.0,0.99776673,0.0030270924,-0.9980458,0.58583164,-999.0,1,-999.0,-999.0,-999.0,0.0,-0.0,-0.999,-1.0,0.03160696125855822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0,0.031606965,10,10000,1000,1000.0,1000,0.0,10000,0.004217235022224486,20.228404587251134,4.281888525991235,0.9574216000037268,0.017124973004683852,14.949954915267881,0.017713473993353546,190.75443779904163,8.386396802961826e-05,0.090703584253788,-28.309646606445312,-4.0244417,-4.7949076,-7.6169305,0.32608125,-17.039629,17.363295,16.595528,15.242769,0.5376239,17.334686,16.608536,15.331848,0.5198597,17.33259,16.605438,15.322643,0.52229106,0.0013342348,0.0011445519,9000,0.003481378,-0.00097043504,-0.009084807,0.0030382667,-0.12279298,-0.1344461,-0.14659172,0.0037103663,0.88444674,0.874206,0.8636465,0.003243236
9,9,0.012275747,0.0010383364,-0.013826127,0.006535139,-999.6,5,-999.0,-999.6,-1000.0,0.48989794855663565,-0.0,-0.9996,-1.0,0.01999599959991998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004,0.0,0.019996,50,50000,1000,1000.0,1000,0.0,0.9970905,0.0042981035,-0.9996375,0.58799034,-1000.0,1,-1000.0,-1000.0,-1000.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11000,1000,1000.0,1000,0.0,11000,0.004074605996720493,19.894140997319482,4.2813319630222395,0.9428242989815772,0.018492931965738535,14.629398489370942,0.017921381979249418,211.39180372981355,9.732600301504135e-05,0.06719640642404556,-31.863798141479492,-4.1610966,-4.8008146,-7.831872,0.32397136,-12.9086685,13.20065,12.5776615,11.4197235,0.44923735,13.1469755,12.587688,11.478943,0.43275335,13.147028,12.589925,11.486141,0.43268204,0.00094039785,0.0009890591,10000,0.012241587,0.0010681368,-0.014458444,0.0065527232,-0.12236547,-0.14522493,-0.16650823,0.0077933213,0.88482493,0.864854,0.84661585,0.006731458
